Area,Bedrooms,Bathrooms,House_Age,Distance_From_City,Price
1163,3,3,36,4,186201
2498,3,1,44,22,221925
3945,4,1,31,12,482318
4243,3,2,35,45,334746
1995,3,3,16,3,303328
3804,6,3,34,22,504615
4263,1,1,48,44,220677
2353,4,3,10,2,438099
1791,6,4,20,24,291526
4081,5,1,25,34,432226
3957,1,1,3,27,430498
2136,1,1,33,41,50000
4196,5,3,47,1,597164
3499,3,2,17,8,508864
3652,6,1,39,23,418708
1198,2,2,34,38,50000
2660,4,4,40,6,405565
4597,2,1,28,22,491195
1354,5,4,28,25,211588
3974,1,1,37,18,354597
2207,1,1,41,17,156179
3277,4,2,20,12,460882
2233,1,1,41,6,223747
4010,1,1,12,26,399606
702,4,4,48,27,50000
3755,6,2,40,8,536953
4718,6,1,16,19,602784
4996,4,3,8,42,558547
1266,5,4,40,1,258572
4889,1,1,0,29,519230
2827,1,1,1,45,193004
3431,5,2,47,49,254980
697,6,1,28,35,54948
2430,3,2,32,40,152824
4082,3,3,9,14,588844
1108,3,3,49,35,50000
3772,6,2,39,48,313665
1647,6,3,20,45,179593
4782,5,2,27,20,612534
3897,1,1,10,49,278736
3011,5,2,33,13,391288
2294,5,3,7,38,315175
1159,6,2,21,49,50000
3311,3,3,7,46,316343
1869,2,2,48,49,50000
2486,1,1,14,8,336352
646,6,2,16,43,56266
3719,3,1,22,20,430484
3411,2,2,23,33,302779
2234,2,2,44,26,150607
2343,6,1,18,39,251739
988,4,2,4,21,163733
3476,1,1,31,49,184014
2459,2,1,43,42,88635
2885,6,3,0,43,397250
3419,6,1,22,41,357779
2302,3,3,36,9,287897
4561,4,2,7,24,557682
3869,1,1,12,37,338635
762,5,4,7,49,88669
1123,3,3,22,41,57692
1516,2,2,42,17,119161
4143,2,2,0,24,512046
2549,3,2,44,21,246191
4223,6,4,50,39,447622
3608,2,2,23,41,288620
4590,4,2,34,39,449948
2556,1,1,23,13,257680
3670,4,3,16,11,549500
2182,2,1,4,46,118353
2755,5,1,19,19,353266
1654,1,1,20,11,192353
4999,1,1,39,13,524943
3691,3,1,30,46,275424
2196,3,2,45,45,65839
4491,5,2,35,1,604050
2148,6,4,10,40,298636
1945,1,1,14,44,71212
4699,5,3,18,19,635859
4423,3,2,6,12,603072
753,3,3,50,8,101026
3683,1,1,27,8,413055
3057,4,1,50,45,166661
598,2,2,42,12,50000
2700,3,2,4,48,217978
3461,6,3,4,33,495218
4933,6,2,29,45,535754
4277,3,1,31,26,460528
3369,4,3,7,39,392879
3734,4,1,9,28,445510
4291,5,1,37,5,575955
1456,6,4,46,8,272374
4567,5,2,31,25,561841
660,6,3,47,27,50000
4993,2,1,27,46,401961
1800,2,1,16,23,154242
4487,1,1,30,30,376258
2027,5,1,7,45,195888
1718,3,3,39,47,50000
4996,5,4,24,23,649779
3604,3,3,8,49,354061
3235,4,4,1,47,388873
1454,5,1,14,20,254500
3946,4,3,49,18,441566
1545,2,2,2,18,215803
2193,2,2,48,2,230122
3936,1,1,35,4,423793
1062,5,2,3,30,198186
2985,4,3,13,33,335473
3854,3,2,40,36,341746
725,2,2,40,18,50000
1459,2,2,24,37,50000
3567,3,2,49,19,344766
1315,4,1,9,47,53245
3620,4,2,20,28,434379
516,5,4,35,40,50000
1743,5,2,11,20,277298
2705,6,1,26,49,213116
3024,6,1,39,33,296430
1569,1,1,1,12,226395
3944,2,2,12,15,495977
3065,5,4,31,41,337608
1560,4,3,30,39,123399
2827,3,3,15,2,445458
3920,4,1,31,29,408214
801,2,1,31,41,50000
4776,6,4,33,10,688698
1106,4,2,10,2,274306
3670,1,1,9,11,443479
1199,2,2,14,13,165273
1639,6,1,16,10,291653
690,3,3,39,14,54875
2800,6,1,17,18,414162
1480,1,1,8,9,224303
3475,2,1,24,39,258799
1684,3,3,39,28,114438
3827,1,1,13,3,523762
3894,6,1,24,20,496656
627,1,1,49,6,50000
2565,2,2,21,27,233372
2316,5,4,29,2,417978
1069,1,1,19,29,50000
2395,1,1,20,38,128479
3233,6,3,43,3,512186
4363,6,3,31,16,585270
4514,3,2,50,30,403993
3401,6,4,45,40,351059
2186,4,3,48,2,311069
3509,2,1,20,17,396865
654,2,2,34,41,50000
3037,5,2,31,12,410249
1909,5,2,29,35,200558
4557,2,2,38,43,372556
1284,5,1,48,1,215928
3675,3,3,11,45,377205
4841,6,1,40,15,580295
3306,2,2,46,26,278610
1037,5,2,17,37,109274
2341,2,1,20,21,210872
2955,4,1,12,49,238376
1024,1,1,20,31,50000
3450,6,3,7,25,546964
4631,2,2,45,23,452590
4615,1,1,39,24,396831
2868,5,1,45,38,237590
4347,1,1,6,28,457296
4995,6,1,22,21,642562
3201,2,1,43,43,153213
1471,4,1,31,18,137166
1666,5,3,10,36,217273
3274,2,2,21,35,298342
2482,6,4,21,45,276059
1353,5,2,42,9,208666
4646,3,3,24,38,461554
4236,1,1,21,30,386206
4269,6,2,27,44,452028
1074,3,3,28,34,56724
3761,2,2,12,32,367238
1648,4,3,17,3,329174
2215,5,2,1,3,483961
4354,1,1,28,28,384093
2991,5,1,20,44,272157
3160,2,2,14,15,396898
3624,5,1,26,41,368403
3551,1,1,49,23,276475
504,2,2,30,40,50000
1376,5,3,14,11,282521
1491,4,4,50,48,50000
4642,6,3,22,32,593559
4864,2,2,23,36,460200
4965,6,2,43,33,524742
1135,2,2,12,24,141775
2193,4,4,21,39,222647
2182,6,2,42,34,226064
619,3,3,36,28,50000
1330,1,1,32,37,50000
4175,3,3,2,7,645787
1869,5,2,18,4,340273
1240,4,1,22,37,68901
616,3,3,28,1,185175
3338,2,2,29,1,454780
1650,5,2,38,47,62315
2431,5,2,43,20,299399
1512,3,3,46,19,124664
2164,3,3,24,29,212386
1581,4,4,36,10,256027
1012,1,1,46,18,50000
3349,3,1,7,28,358113
1059,3,1,41,35,50000
4172,6,3,15,43,506795
3843,2,2,7,47,337115
4570,6,1,0,31,628004
1970,6,4,43,27,254017
1080,5,2,4,11,305720
2794,1,1,2,49,166020
3647,2,2,0,49,341100
4749,4,2,3,38,541620
2179,4,3,39,5,299249
4006,3,2,34,8,469187
3244,3,1,31,34,277354
3856,4,3,41,48,306483
4545,3,3,33,12,558214
1743,1,1,42,38,50000
3618,6,3,24,1,600804
2641,3,2,9,31,295981
3559,5,2,20,4,569977
3459,3,2,45,49,195831
2765,2,2,38,45,132580
2979,1,1,26,50,116838
2135,2,2,26,5,315438
2257,2,2,1,30,238566
4952,5,3,40,24,572751
2570,1,1,47,3,238014
3349,1,1,12,11,412020
3751,1,1,8,45,278537
4230,1,1,35,4,477635
2989,1,1,21,26,261153
2131,5,1,41,27,180304
3316,3,2,25,46,258869
1515,2,2,11,43,54682
1848,1,1,16,27,115003
3587,3,1,13,42,325934
3339,3,3,13,50,265783
835,2,2,33,6,75027
1395,5,4,19,15,290392
4046,4,2,10,30,507254
1351,4,1,15,42,68117
2187,3,3,50,37,96418
2431,6,1,30,37,249803
4246,6,1,5,42,485336
2927,2,2,18,37,227789
2068,4,2,36,35,161774
4500,3,3,3,23,595135
3238,5,2,46,6,447533
3998,4,2,3,4,604656
4413,3,3,19,18,540549
1566,3,2,9,9,277134
4880,1,1,23,49,370865
2944,5,1,34,29,311984
4607,1,1,25,13,508462
3873,2,1,36,47,242229
4469,1,1,37,17,427438
3046,1,1,20,45,197383
1253,4,1,39,32,50000
2582,6,1,38,48,179225
3274,3,1,20,22,351062
3396,5,1,9,4,561541
4685,1,1,37,5,503644
1275,5,1,45,37,50000
2125,6,3,3,41,296681
3569,6,4,44,49,349449
917,1,1,19,13,76824
614,2,1,16,34,50000
1116,1,1,6,45,50000
4474,4,2,3,22,599561
3767,3,3,28,23,433626
1325,2,2,13,3,218091
2016,1,1,2,42,97655
3646,5,2,23,34,418517
912,2,2,36,32,50000
1228,2,2,15,45,50000
3848,1,1,3,49,289705
3308,2,1,23,21,330482
1175,5,3,33,46,50000
3965,6,3,29,44,429475
3004,2,1,17,21,291098
3467,6,3,18,44,417232
3286,5,1,30,11,462445
1622,1,1,18,39,50000
4579,3,2,48,4,562768
2071,2,2,45,1,260348
2643,3,3,18,28,302166
2187,5,1,21,24,252982
4632,2,1,23,35,445068
4351,6,3,44,13,575501
3940,4,1,11,47,381033
4266,3,3,29,34,467208
2826,2,2,37,11,312897
3414,3,3,30,36,304926
4452,2,2,35,17,475204
1095,1,1,18,35,50000
1228,6,3,47,18,176862
1865,3,3,44,40,58708
4992,4,1,35,22,544947
1198,4,1,29,24,85493
895,5,1,48,19,59418
4671,2,1,32,37,400171
4860,3,3,17,39,475928
3002,5,1,48,21,308133
2319,3,3,27,8,335594
1217,2,2,46,28,50000
3282,4,2,10,5,555269
4077,1,1,44,17,379617
643,4,3,32,37,50000
3640,5,3,16,36,450373
4991,6,4,5,19,779587
3438,1,1,3,27,363540
4136,5,2,19,34,485741
3722,2,2,47,11,391715
1667,1,1,46,45,50000
3116,5,2,26,47,269116
1562,2,1,14,12,199856
2656,4,3,5,21,424172
3482,6,1,46,11,447845
3794,2,2,13,39,352815
1656,3,3,10,28,206368
1232,2,2,38,5,160190
4830,2,2,8,17,603831
1453,6,2,25,20,224887
3039,3,3,15,41,289544
3824,5,1,4,46,423990
3801,5,1,9,12,569562
2042,2,2,49,6,204704
1691,3,1,2,17,257793
3493,3,3,12,19,458763
3181,6,1,42,26,340810
1717,4,2,48,48,50000
2040,5,4,29,44,180378
3736,6,1,44,44,334512
2886,1,1,5,32,248151
4219,5,4,16,6,664949
1888,6,4,44,36,167745
2356,5,3,50,38,149656
1865,4,3,18,11,315998
999,1,1,41,33,50000
2180,4,3,34,24,270025
1010,1,1,45,23,50000
4812,2,2,25,15,582780
1824,6,2,50,27,184400
1655,1,1,4,11,221465
2327,4,3,28,50,180892
3641,5,3,36,17,476948
3986,1,1,19,14,467015
2310,6,1,48,27,237148
3423,1,1,20,18,359979
2714,3,3,9,28,348946
4686,5,3,4,47,553681
1213,6,4,35,47,60396
4102,6,3,5,4,712099
4634,2,1,25,7,580193
4022,4,4,3,45,493532
4768,2,2,38,35,408350
1743,6,1,38,48,81092
4209,5,4,49,9,562343
1581,1,1,34,8,138951
955,1,1,0,45,50000
1394,5,3,23,17,245549
1884,6,4,35,17,316201
2458,1,1,5,49,149585
3572,1,1,40,33,248401
2496,1,1,45,32,102178
4785,4,3,43,8,637169
1004,4,2,30,19,138128
1714,3,2,19,38,118294
2031,2,1,23,3,259463
3940,5,4,24,5,607982
1323,5,4,35,13,249758
1428,5,1,20,47,59905
633,3,3,29,46,50000
2605,4,2,23,31,263228
4127,6,3,43,16,529929
2352,6,1,41,50,139999
4675,3,3,29,32,490648
3433,6,4,21,22,490374
3784,5,3,27,29,457545
4798,2,2,6,22,587093
3311,1,1,34,43,166129
1750,4,2,27,3,317338
4012,4,4,13,10,608125
1756,3,2,9,42,151345
3876,4,2,15,21,510071
3986,5,2,15,16,578219
4084,6,1,30,12,541601
1896,5,1,41,2,288994
4137,3,3,24,41,397647
3830,5,2,12,24,493269
3203,6,1,5,35,428935
970,2,2,43,30,50000
1853,3,3,8,30,218216
3283,2,2,44,47,147760
3331,1,1,35,35,223237
857,2,2,42,19,50000
3519,1,1,19,50,217548
1167,1,1,17,8,157707
4968,2,1,42,26,466217
1645,3,3,20,49,82089
4685,6,3,3,40,618593
4219,5,3,49,7,539038
3245,5,4,32,30,411921
1039,6,1,26,7,222778
3279,1,1,6,3,452484
4636,1,1,5,1,624330
4275,3,2,14,36,459373
3008,4,4,17,25,398889
3279,2,2,31,37,252483
1424,1,1,10,1,210349
3456,5,4,19,15,547189
2081,3,2,23,37,166781
3824,2,2,14,13,483496
4985,3,2,47,40,411162
755,2,1,6,8,160269
2338,2,2,20,5,320950
2444,6,4,41,9,399160
509,1,1,25,1,91500
3371,3,2,43,36,244351
1297,3,3,13,35,126169
1515,6,3,36,2,322535
2324,5,1,20,40,210419
4969,5,3,17,23,651723
3636,1,1,4,9,490541
2693,1,1,2,34,231196
723,4,1,22,46,50000
4658,6,2,25,14,659568
4425,5,4,36,4,631980
4500,2,1,23,30,449378
2133,3,2,48,31,137983
2652,1,1,18,38,176686
1010,3,3,50,11,111271
884,3,2,24,35,50380
904,4,4,20,8,244981
2500,5,2,11,3,467958
3256,1,1,40,14,318229
2168,3,1,32,13,268481
1960,1,1,49,45,50000
4136,2,2,3,32,455937
3224,4,4,41,34,295569
4678,2,2,6,45,446062
2548,1,1,21,19,251314
4646,1,1,32,38,366907
1216,5,3,16,16,243822
2323,3,1,23,2,351167
2581,3,3,33,40,167657
3919,2,2,27,17,442397
2074,4,4,42,34,191656
749,6,3,40,42,50000
1173,3,3,38,16,136137
2665,5,4,21,38,337760
1270,2,2,48,2,133407
4462,2,2,16,2,603643
4863,6,1,33,26,590402
2484,5,2,5,13,446646
1577,4,3,45,47,50000
735,5,4,5,31,162794
888,4,2,33,34,50000
3537,5,1,0,39,403288
2348,5,3,9,3,485454
3314,1,1,20,8,406844
3874,2,1,4,23,436204
3778,5,3,1,14,622374
1752,6,1,21,27,236301
4481,5,3,47,29,465390
2622,3,3,1,39,277549
2650,2,2,9,39,237602
1829,3,1,33,1,252514
1858,2,2,15,17,256259
2982,3,1,47,41,169128
2517,5,1,50,30,202145
1831,5,2,38,13,259566
4844,1,1,21,21,526243
4761,6,1,11,19,674017
1858,3,3,23,19,245456
3677,4,3,46,25,367536
2628,1,1,39,22,227289
2680,3,3,37,31,218052
637,3,3,9,17,138751
3972,1,1,34,23,327819
3332,5,2,50,32,308921
4079,3,1,48,10,440746
3531,5,2,31,10,503199
4664,1,1,6,36,428594
3093,5,1,20,8,480853
4800,2,1,19,20,524888
4318,4,2,25,32,466924
4638,3,1,3,50,454533
4323,6,2,45,14,553679
4542,4,4,21,50,459019
2406,5,3,14,28,347707
1260,3,3,39,46,50000
3945,5,1,20,24,481283
1399,2,2,14,15,184382
4955,1,1,21,22,517778
3447,3,2,27,30,330206
2219,2,2,13,4,358220
780,2,1,26,13,72929
3766,3,3,40,23,397041
2387,5,1,39,8,340327
3766,6,1,27,18,497118
1166,2,2,25,12,138183
4688,4,3,48,31,460290
1171,2,2,1,14,208666
2469,6,4,24,34,330906
4656,5,2,2,18,663725
3622,5,3,7,34,469974
4400,4,4,43,11,556105
1023,2,2,32,41,50000
2893,5,2,41,12,349211
3617,6,2,34,49,319576
3093,3,3,5,15,434626
2468,1,1,38,31,113217
2253,1,1,22,49,50000
2796,1,1,24,29,227298
2761,2,2,49,26,175095
2786,4,4,42,18,328902
4702,5,1,18,32,537517
3378,3,1,4,22,417657
4643,6,4,50,38,509698
4144,3,3,10,17,544201
4932,6,1,11,23,656148
2555,2,2,9,24,300580
1776,1,1,7,50,50000
3266,2,2,23,8,413216
802,4,2,27,41,50000
1138,4,1,40,6,152308
555,6,3,35,5,210880
1025,5,4,36,44,50000
4623,5,1,20,29,546306
2625,6,1,7,28,356054
3787,4,4,8,11,579954
864,4,2,46,1,146950
2146,4,4,14,43,201124
1418,2,1,47,19,63880
3297,4,4,45,9,424940
2031,3,3,39,27,170350
3845,1,1,17,34,305113
2406,4,1,41,44,107812
3586,6,4,19,4,607532
2575,1,1,5,36,172170
1213,2,2,11,18,166687
1562,6,2,1,15,370057
2476,1,1,6,13,324062
1796,6,2,15,19,321745
625,2,2,2,49,50000
4096,3,1,44,6,484608
3783,2,2,2,48,362317
2103,2,2,26,12,252412
566,6,2,49,37,50000
732,5,2,42,17,80349
2656,4,2,39,23,298260
1669,4,3,37,26,162158
2658,3,3,32,29,207088
4706,3,2,27,33,457686
1993,4,2,0,27,283793
4507,5,1,7,25,603377
2972,4,3,36,10,398543
3160,5,2,31,47,278016
3239,3,3,47,23,303787
2261,1,1,42,21,103855
4014,6,4,36,21,533306
2475,3,3,3,43,257174
2862,3,2,29,13,356369
1376,2,2,5,37,82293
4312,2,2,45,33,348172
3948,2,2,18,24,476030
1812,6,1,31,44,103940
1960,2,1,8,11,284110
3209,5,1,11,17,428629
2824,4,3,10,4,505836
2233,1,1,45,47,50000
2105,3,1,15,25,231631
3063,5,3,0,30,427187
3921,1,1,44,9,390882
4017,5,2,20,21,514410
2897,5,2,29,20,360914
4235,3,2,12,19,544829
3370,4,1,33,19,371944
1660,2,2,3,12,271905
742,6,4,27,37,92177
3090,4,4,37,42,272812
1563,6,1,30,17,237236
4824,3,3,26,37,489629
3095,3,3,4,48,283459
1419,3,3,24,39,74295
505,1,1,2,28,50000
967,6,3,32,41,70782
4670,4,4,3,35,585726
503,4,2,24,47,50000
1145,5,1,19,48,50000
617,5,3,33,18,121839
3428,5,4,25,14,498692
3051,3,3,4,35,347884
4789,4,4,34,44,464527
1346,6,2,27,41,106110
3262,3,1,28,7,423523
1641,1,1,8,41,65362
2310,5,4,37,13,353828
1223,3,3,49,18,109070
724,3,3,5,37,76213
4708,1,1,18,13,536832
2548,2,1,43,36,97001
4915,4,2,10,31,580081
2073,6,1,1,2,449834
2328,2,2,46,16,209796
2417,5,2,43,9,326630
4734,3,2,43,9,545237
2526,1,1,8,38,171126
4244,1,1,20,11,486236
1401,4,3,23,22,206469
2539,2,2,33,33,200545
509,4,1,21,36,50000
760,3,1,2,45,50000
2173,4,4,11,23,316550
2719,6,4,27,45,321367
2560,1,1,29,45,67184
4213,1,1,25,34,371134
2119,5,2,47,9,273799
820,5,1,20,24,102409
1842,3,2,27,8,244389
2876,6,4,25,7,543270
3332,2,1,32,36,245162
3324,4,3,20,18,453199
2494,3,2,34,3,356580
3458,5,1,33,28,359197
2538,4,2,40,6,340587
3990,5,1,50,44,302645
4177,4,1,46,44,303557
1618,2,2,17,21,192154
2104,3,3,10,28,258200
4527,4,1,22,40,421943
735,6,1,47,1,155677
2469,1,1,21,36,150017
4929,6,3,16,21,679077
2408,6,3,4,43,303741
875,1,1,43,35,50000
4030,6,2,10,13,642918
3135,4,3,29,49,240892
2070,4,2,14,10,363836
3060,4,4,26,44,281975
3891,1,1,34,47,227795
3465,6,3,32,10,517106
4143,1,1,19,46,314471
4350,4,3,15,13,599225
1372,6,2,33,37,127782
1752,6,3,1,38,272948
1814,5,3,34,24,215080
3398,5,2,39,2,489266
577,2,2,27,22,50000
3121,3,1,46,17,296587
4727,5,4,38,36,509699
1100,1,1,5,14,121929
1565,5,4,8,10,368381
2636,2,2,19,35,223257
2949,6,1,0,25,457305
2843,2,2,7,3,419226
2363,6,2,22,47,200976
1818,6,2,2,38,275363
4097,3,1,3,17,545610
4262,5,3,24,12,616441
